gender,age,no_of_people_contribute_income,relationship_status,children_status,financially_independent,occupation,housing situation,have_roomates,country,living environment,commute,highest level of education attained?,gross_annual_wage,total_portfolio,amount_for_fi,amount_for_re,curr_percentage_of_fi,frequency_of_checking_balance,do_you_move_when_fi,how_financially_stable_childhood_home,parent/guardian_financial_status,did_parent/guardian_teach_about_money,age_when_financially_literate,age_when_learnt_about_fi,education,job,housing_situation,location,spending_habits,frugality,logical_thinking,creativity,drive_for_self_improvement,importance_of_relationship,internet_consumption,introversion,religiousness_level,response_release_consent
Female,28,2,Divorced,Do not plan to have children,No,Office and Administrative Support Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",88250,130000,850000,850000,15,Multiple times per month,Unsure,Mostly Unstable,Lower-Middle Class,"No, they were not financially savvy",19,27,No,Yes,Yes,No,Yes,3,4,3,4,2,4,5,1,Yes
Female,20,3,"In a relationship, but not married",Do not plan to have children,No,Office and Administrative Support Occupations,Live with family,No,United States of America,Suburban,30-60 minutes,Associate's Degree or Trade School,110000,67000,7,3,3,Multiple times per week,No,Mostly Unstable,Lower-Middle Class,"No, they were not financially savvy",12,18,Yes,Yes,Yes,Yes,Yes,4,5,2,4,3,5,5,1,Yes
Male,28,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",150000,50000,1750000,2000000,6,Multiple times per week,Unsure,Somewhat Stable,Middle Class,"No, they were not financially savvy",27,27,No,No,No,No,Yes,2,5,2,5,4,4,2,2,Yes
Female,32,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",118000,165000,2000000,1500000,1,Weekly,"Yes, within my country",Mostly Unstable,Poor,"Yes, only basic savings and budgeting",22,27,No,Yes,No,No,Yes,3,4,3,4,5,5,4,1,Yes
Male,32,1,"In a relationship, but not married",Have Children,No,Office and Administrative Support Occupations,Own,No,United States of America,Suburban,10-30 minutes,"Some college, no degree",36000,15000,500000,1000000,2,Daily,Unsure,Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",27,26,No,Yes,Yes,No,Yes,3,5,5,3,5,4,4,4,Yes
Male,26,1,"In a relationship, but not married",Plan Children,No,Community and Social Service Occupations,Own,Yes,Canada,Suburban,<10 minutes,"College graduate, Bachelor's Degree",80000,30000,1300000,2000000,3,Multiple times per week,Unsure,Somewhat Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",25,25,No,No,Yes,Yes,Yes,3,4,2,3,5,5,2,1,Yes
Male,33,2,Married,Have Children,No,"Life, Physical, and Social Science Occupations",Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,150000,250000,1000000,2000000,20,Daily,No,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",18,32,No,No,Yes,No,Yes,4,5,3,4,5,2,2,1,Yes
Female,24,1,"Single, never married",Undecided,No,Management Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",100000,50000,750000,750000,15,Monthly,"Yes, within my country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",21,23,No,Yes,No,No,Yes,3,3,5,3,5,4,4,1,Yes
Male,35,2,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,Netherlands,Suburban,<10 minutes,"College graduate, Bachelor's Degree",240000,110000,1000000,1500000,70,Daily,No,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",24,34,No,No,Yes,Yes,Yes,3,4,5,5,3,4,1,1,Yes
Male,26,1,"Single, never married",Undecided,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",70000,68000,750000,1500000,9,Multiple times per month,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",16,24,No,Yes,Yes,Yes,Yes,4,5,2,3,4,3,4,2,Yes
Male,35,1,"Single, never married",Plan Children,No,Production and Manufacturing Occupations,Rent,Yes,United States of America,Suburban,<10 minutes,Associate's Degree or Trade School,70000,100000,200000,500000,50,Multiple times per week,"Yes, to another country",Mostly Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",30,30,Yes,Yes,Yes,Yes,Yes,4,5,5,5,4,5,5,3,Yes
Male,28,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",112000,25000,750000,1000000,3,Weekly,Unsure,Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",25,28,No,Yes,No,No,Yes,3,4,3,2,4,5,3,2,Yes
Male,32,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Urban,<10 minutes,Graduate degree,147000,263000,1400000,2000000,24,Daily,Unsure,Somewhat Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",26,31,No,Yes,No,No,Yes,2,5,4,5,3,5,1,1,Yes
Male,30,2,Married,Have Children,No,Legal Occupations,Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,275000,235000,2000000,4500000,12,Weekly,No,Mostly Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",21,27,No,No,No,No,Yes,3,5,2,3,4,4,3,3,Yes
Male,32,2,Married,Plan Children,No,"Arts, Design, Entertainment, Sports, and Media Occupations",Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",155000,60000,1500000,4000000,8,Multiple times per month,Unsure,Mostly Unstable,Middle Class,"Yes, only basic savings and budgeting",25,30,No,No,No,No,Yes,2,5,5,4,4,5,2,1,Yes
Male,25,2,"In a relationship, but not married",Have Children,No,Architecture and Engineering Occupations,Own,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",106000,34000,1250000,2500000,5,Multiple times per week,No,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",16,25,No,No,No,No,Yes,3,5,3,3,4,5,2,1,Yes
Male,26,1,"Single, never married",Undecided,No,Legal Occupations,Rent,No,Canada,Urban,<10 minutes,Graduate degree,46000,27000,750000,1250000,2,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",23,23,No,No,Yes,Yes,Yes,2,4,4,4,4,3,1,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,Healthcare Support Occupations,Live with family,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",30500,1000,750000,1500000,1,Multiple times per week,"Yes, within my country",Somewhat Stable,Lower-Middle Class,"No, we did not talk about it",22,22,Yes,No,Yes,No,Yes,4,5,3,5,2,5,2,1,Yes
Male,28,1,"Single, never married",Plan Children,No,Healthcare Practitioners and Technical Occupations,Rent,Yes,United States of America,Urban,30-60 minutes,Graduate degree,200000,103000,2000000,4000000,0,Daily,"Yes, to another country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",28,28,Yes,Yes,Yes,Yes,Yes,3,5,2,4,4,3,3,1,Yes
Female,26,2,"In a relationship, but not married",Plan Children,No,Office and Administrative Support Occupations,Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",110000,15000,1300000,2500000,1,Multiple times per week,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",22,26,Yes,Yes,Yes,Yes,Yes,3,4,3,3,5,4,3,1,Yes
Male,23,2,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",185000,100000,5000000,7500000,2,Weekly,"Yes, within my country",Mostly Unstable,Middle Class,"No, they were not financially savvy",21,22,No,No,Yes,No,Yes,4,5,2,4,4,5,4,1,Yes
Male,30,2,"In a relationship, but not married",Do not plan to have children,No,Architecture and Engineering Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",100000,55000,750000,750000,5,Weekly,"Yes, nearby",Extremely Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",29,28,No,No,Yes,Yes,Yes,5,5,5,2,4,4,2,1,Yes
Male,24,1,"In a relationship, but not married",Undecided,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",88000,45000,2000000,4000000,2,Daily,No,Extremely Unstable,Wealthy,"Yes, including investing and retirement planning",10,20,No,No,Yes,Yes,Yes,4,5,2,2,5,5,4,1,Yes
Male,28,2,Married,Undecided,No,Other (please specify),Rent,No,United States of America,Suburban,<10 minutes,Some graduate school,38000,0,3000000,7500000,0,Multiple times per month,Unsure,Extremely Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",25,27,Yes,Yes,Yes,Yes,Yes,3,5,1,5,5,5,3,1,Yes
Male,34,1,"In a relationship, but not married",Do not plan to have children,No,Production and Manufacturing Occupations,Own,Yes,United States of America,Urban,10-30 minutes,Some graduate school,107000,100000,1000000,2500000,5,Daily,"Yes, within my country",Extremely Unstable,Upper-Middle Class,"Yes, including investing and retirement planning",25,34,No,No,Yes,No,Yes,3,3,3,5,4,3,3,1,Yes
Male,24,1,"In a relationship, but not married",Plan Children,No,Production and Manufacturing Occupations,Rent,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",76000,28000,2000000,2000000,0.0015,Semi-Annually,Unsure,Extremely Stable,Wealthy,"Yes, including investing and retirement planning",23,23,No,No,Yes,No,No,4,5,2,4,4,4,3,1,Yes
Male,25,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,France,Suburban,<10 minutes,"College graduate, Bachelor's Degree",28000,4000,300000,400000,2,Daily,"Yes, to another country",Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",24,24,No,Yes,Yes,Yes,Yes,4,4,3,3,3,5,2,1,Yes
Male,36,1,"Single, never married",Do not plan to have children,No,Business and Financial Operations Occupations,Rent,Yes,Australia,Urban,30-60 minutes,"College graduate, Bachelor's Degree",145000,225000,750000,750000,30,Daily,"Yes, to another country",Somewhat Stable,Lower-Middle Class,"No, they were not financially savvy",19,35,No,No,Yes,Yes,Yes,5,5,5,4,1,5,5,1,Yes
Male,31,1,Divorced,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",125000,77000,750000,1200000,11,Multiple times per week,"Yes, to another country",Mostly Stable,Middle Class,"No, we did not talk about it",27,28,No,Yes,Yes,Yes,Yes,4,5,4,4,2,4,4,1,Yes
Male,24,1,"In a relationship, but not married",Plan Children,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",60000,20000,3000000,3000000,1,Weekly,Unsure,Extremely Unstable,Poor,"No, they were not financially savvy",23,20,Yes,Yes,Yes,Yes,Yes,4,5,2,3,2,3,4,5,Yes
Male,25,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",115000,0,1000000,4000000,5,Multiple times a day,Unsure,Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",20,22,No,No,Yes,No,No,4,5,3,4,4,4,3,1,Yes
Male,23,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",74000,0,0,0,0,Semi-Annually,"Yes, to another country",Extremely Stable,Upper-Middle Class,"No, they were not financially savvy",19,20,No,No,Yes,Yes,Yes,5,5,1,5,5,4,4,1,Yes
Male,24,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Suburban,10-30 minutes,High School diploma / GED,135000,10000,10000000,10000000,1,Weekly,Unsure,Mostly Unstable,Poor,"No, we did not talk about it",21,23,Yes,Yes,Yes,Yes,Yes,5,5,5,5,2,5,4,5,Yes
Male,24,2,"In a relationship, but not married",Undecided,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United States of America,Suburban,30-60 minutes,Graduate degree,52530,70000,750000,1000000,9,Multiple times per week,No,Extremely Stable,Wealthy,"Yes, only basic savings and budgeting",16,20,Yes,Yes,Yes,Yes,Yes,4,4,2,3,3,5,5,3,Yes
Male,25,1,"Single, never married",Have Children,No,Healthcare Practitioners and Technical Occupations,Live with family,No,United States of America,Rural,<10 minutes,Graduate degree,131000,78000,1500000,1500000,5,Daily,Unsure,Mostly Unstable,Poor,"No, they were not financially savvy",22,25,Yes,Yes,Yes,No,No,3,5,1,4,2,5,4,1,Yes
Female,31,1,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",49000,16000,750000,1000000,2,Quarterly,Unsure,Extremely Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",28,30,Yes,Yes,Yes,Yes,Yes,5,3,3,5,3,5,5,1,Yes
Male,36,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,90+ minutes,"College graduate, Bachelor's Degree",200000,900000,1500000,1500000,70,Multiple times per week,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",21,33,No,No,No,No,No,5,5,3,3,4,5,5,1,Yes
Male,25,1,"Single, never married",Plan Children,No,Other (please specify),Rent,Yes,United States of America,Urban,<10 minutes,Graduate degree,25800,68000,1000000,4000000,7,Monthly,No,Extremely Stable,Wealthy,"Yes, only basic savings and budgeting",17,24,No,Yes,No,No,Yes,3,5,5,4,2,5,4,1,Yes
Male,27,2,"In a relationship, but not married",Plan Children,No,Architecture and Engineering Occupations,Rent,No,Canada,Urban,<10 minutes,"College graduate, Bachelor's Degree",80000,85000,1000000,2000000,9,Multiple times a day,No,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",23,24,No,No,Yes,No,Yes,3,4,2,4,4,4,5,1,Yes
Male,23,1,"In a relationship, but not married",Plan Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,Yes,United States of America,Urban,10-30 minutes,Some graduate school,18530,22668,1000000,1500000,2,Monthly,No,Mostly Stable,Middle Class,"Yes, including investing and retirement planning",18,20,No,No,No,No,No,3,5,4,3,4,4,3,3,Yes
Male,25,1,"Single, never married",Do not plan to have children,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",53560,20000,800000,1500000,3,Weekly,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,24,No,Yes,Yes,Yes,Yes,4,4,3,3,5,3,4,1,Yes
Male,34,2,Married,Have Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,230000,300000,2500000,4000000,20,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",25,33,No,No,No,No,Yes,3,4,4,3,4,5,4,1,Yes
Male,24,1,"In a relationship, but not married",Undecided,No,Other (please specify),Rent,Yes,United States of America,Rural,<10 minutes,"College graduate, Bachelor's Degree",78000,42000,800000,1000000,5,Weekly,Unsure,Somewhat Unstable,Poor,"Yes, only basic savings and budgeting",22,24,No,No,No,No,Yes,4,5,2,4,4,4,3,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",79500,55000,800000,1000000,7,Daily,"Yes, to another country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",22,23,No,Yes,Yes,Yes,Yes,4,5,3,3,4,5,4,1,Yes
Male,31,2,Married,Plan Children,No,Architecture and Engineering Occupations,Own,No,Canada,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",165000,190000,1500000,2200000,13,Multiple times per month,"Yes, within my country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",23,29,No,No,No,No,Yes,4,5,4,5,4,3,2,1,Yes
Male,44,1,"In a relationship, but not married",Undecided,Yes,Legal Occupations,Rent,No,United States of America,Urban,10-30 minutes,Graduate degree,500000,3700000,1750000,4000000,100,Monthly,"Yes, to another country",Extremely Unstable,Poor,"No, they were not financially savvy",6,38,No,No,No,No,No,2,5,3,4,2,3,3,1,Yes
Male,25,2,"In a relationship, but not married",Plan Children,No,Production and Manufacturing Occupations,Rent,Yes,Sweden,Suburban,<10 minutes,"Some college, no degree",60000,25000,350000,400000,7,Multiple times per month,"Yes, nearby",Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",22,24,No,Yes,Yes,No,Yes,4,4,3,3,5,4,3,1,Yes
Male,48,2,Married,Do not plan to have children,No,"Education, Training, and Library Occupations",Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",240000,650000,1200000,1200001,55,Weekly,"Yes, within my country",Extremely Unstable,Poor,"No, they were not financially savvy",19,20,No,No,No,Yes,No,3,5,4,3,3,5,2,1,Yes
Male,30,2,Married,Have Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Own,No,United States of America,Urban,<10 minutes,Some graduate school,140000,75000,1500000,1500000,27,Weekly,No,Mostly Stable,Lower-Middle Class,"No, they were not financially savvy",26,29,No,No,Yes,No,Yes,3,5,4,4,5,3,3,2,Yes
Male,25,1,"In a relationship, but not married",Do not plan to have children,No,Construction and Extraction Occupations,Rent,No,Canada,Urban,10-30 minutes,High School diploma / GED,75000,71000,1500000,3000000,1,Daily,"Yes, within my country",Extremely Unstable,Poor,"No, they were not financially savvy",22,23,No,Yes,Yes,No,Yes,4,4,3,4,3,5,2,1,Yes
Male,24,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,Graduate degree,122000,40000,1250000,2000000,3,Weekly,"Yes, within my country",Somewhat Stable,Middle Class,"Yes, including investing and retirement planning",12,21,No,No,Yes,No,Yes,4,4,5,5,4,3,1,3,Yes
Male,30,1,"In a relationship, but not married",Do not plan to have children,No,Sales and Related Occupations,Rent,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",124000,45000,2100000,2500000,10,Weekly,"Yes, to another country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",15,25,No,Yes,Yes,Yes,Yes,2,4,4,4,3,4,2,2,Yes
Male,33,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,60-90 minutes,Graduate degree,135000,120000,1000000,1500000,15,Daily,"Yes, nearby",Mostly Unstable,Middle Class,"No, we did not talk about it",30,31,No,Yes,Yes,No,Yes,4,5,3,5,2,4,4,1,Yes
Male,35,1,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",100000,152000,1000000,1000000,15,Weekly,"Yes, within my country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",23,34,No,No,No,No,Yes,4,4,2,3,5,4,2,4,Yes
Male,34,2,Married,Have Children,No,Other (please specify),Own,No,United States of America,Urban,10-30 minutes,Graduate degree,175000,240000,1750000,3000000,14,Weekly,No,Mostly Unstable,Lower-Middle Class,"No, we did not talk about it",26,31,No,No,No,Yes,Yes,3,5,3,4,2,5,5,1,Yes
Female,31,2,Married,Have Children,No,"Life, Physical, and Social Science Occupations",Own,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",100000,115000,1000000,1200000,11,Weekly,"Yes, to another country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",25,26,No,No,Yes,Yes,Yes,4,5,4,3,5,3,3,1,Yes
Male,34,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",120000,1100000,1500000,2000000,75,Daily,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",18,32,No,Yes,No,No,Yes,4,4,3,2,5,2,3,1,Yes
Male,32,2,Married,Do not plan to have children,No,Architecture and Engineering Occupations,Rent,No,United States of America,Urban,Work at home,"College graduate, Bachelor's Degree",150000,84000,400000,1000000,25,Weekly,"Yes, within my country",Extremely Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",16,30,No,No,Yes,Yes,Yes,4,5,4,2,4,5,3,2,Yes
Male,32,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",130000,428000,500000,800000,85,Multiple times a day,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",18,27,No,Yes,No,Yes,Yes,4,5,3,5,4,4,4,1,Yes
Male,36,1,Married,Do not plan to have children,No,Management Occupations,Rent,No,United Arab Emirates,Urban,10-30 minutes,Graduate degree,210000,1000000,1800000,1800000,80,Multiple times per week,"Yes, to another country",Somewhat Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",10,32,No,Yes,Yes,Yes,Yes,5,5,3,3,4,4,3,1,Yes
Male,31,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,Multiple graduate degrees,205000,500000,600000,800000,87,Daily,Unsure,Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",30,30,No,No,Yes,Yes,Yes,4,5,4,4,4,3,3,1,Yes
